Order,UID,Barcode,I,year,row,genotype,note,pedigree,field,experiment,sublock,Block,pheno,G,K,DNA,instructions,planting,row length,Plant Number,Germinated plants
2207,22HL_2207,22HL_2207_BGEM-0306-S_BGEM-0306-S,GX,2022,2207,BGEM-0306-S,BGEM_Short_late,BGEM-0306-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2208,22HL_2208,22HL_2208_BGEM-0035-S_BGEM-0035-S,GX,2022,2208,BGEM-0035-S,BGEM_Short_late,BGEM-0035-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2209,22HL_2209,22HL_2209_BGEM-0269-S_BGEM-0269-S,GX,2022,2209,BGEM-0269-S,BGEM_Short_late,BGEM-0269-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2210,22HL_2210,22HL_2210_BGEM-0036-S_BGEM-0036-S,GX,2022,2210,BGEM-0036-S,BGEM_Short_late,BGEM-0036-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2211,22HL_2211,22HL_2211_MO17_19S1496,GX,2022,2211,MO17,BGEM_Short_late,19S1496,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2212,22HL_2212,22HL_2212_BGEM-0102-N_BGEM-0102-N,GX,2022,2212,BGEM-0102-N,BGEM_Short_late,BGEM-0102-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2213,22HL_2213,22HL_2213_BGEM-0305-S_BGEM-0305-S,GX,2022,2213,BGEM-0305-S,BGEM_Short_late,BGEM-0305-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2214,22HL_2214,22HL_2214_BGEM-0089-N_BGEM-0089-N,GX,2022,2214,BGEM-0089-N,BGEM_Short_late,BGEM-0089-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2215,22HL_2215,22HL_2215_BGEM-0174-N_BGEM-0174-N,GX,2022,2215,BGEM-0174-N,BGEM_Short_late,BGEM-0174-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2216,22HL_2216,22HL_2216_BGEM-0067-S_BGEM-0067-S,GX,2022,2216,BGEM-0067-S,BGEM_Short_late,BGEM-0067-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2217,22HL_2217,22HL_2217_BGEM-0288-S_BGEM-0288-S,GX,2022,2217,BGEM-0288-S,BGEM_Short_late,BGEM-0288-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2218,22HL_2218,22HL_2218_BGEM-0161-S_21S0433,GX,2022,2218,BGEM-0161-S,BGEM_Short_late,21S0433,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2219,22HL_2219,22HL_2219_B73_21S0068,GX,2022,2219,B73,BGEM_Short_late,21S0068,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2220,22HL_2220,22HL_2220_BGEM-0088-N_BGEM-0088-N,GX,2022,2220,BGEM-0088-N,BGEM_Short_late,BGEM-0088-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2221,22HL_2221,22HL_2221_BGEM-0187-S_BGEM-0187-S,GX,2022,2221,BGEM-0187-S,BGEM_Short_late,BGEM-0187-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2222,22HL_2222,22HL_2222_BGEM-0170-S_BGEM-0170-S,GX,2022,2222,BGEM-0170-S,BGEM_Short_late,BGEM-0170-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2223,22HL_2223,22HL_2223_BGEM-0107-N_BGEM-0107-N,GX,2022,2223,BGEM-0107-N,BGEM_Short_late,BGEM-0107-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2224,22HL_2224,22HL_2224_BGEM-0225-N_BGEM-0225-N,GX,2022,2224,BGEM-0225-N,BGEM_Short_late,BGEM-0225-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2225,22HL_2225,22HL_2225_BGEM-0226-S_BGEM-0226-S,GX,2022,2225,BGEM-0226-S,BGEM_Short_late,BGEM-0226-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2226,22HL_2226,22HL_2226_BGEM-0295-S_BGEM-0295-S,GX,2022,2226,BGEM-0295-S,BGEM_Tall_early,BGEM-0295-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2227,22HL_2227,22HL_2227_BGEM-0148-S_BGEM-0148-S,GX,2022,2227,BGEM-0148-S,BGEM_Tall_early,BGEM-0148-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2228,22HL_2228,22HL_2228_BGEM-0045-N_BGEM-0045-N,GX,2022,2228,BGEM-0045-N,BGEM_Tall_early,BGEM-0045-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2229,22HL_2229,22HL_2229_MO17_19S1496,GX,2022,2229,MO17,BGEM_Tall_early,19S1496,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
